,0
1084,PHAX
1085,ME2
1086,SREK1IP1
1087,PYCARD
1088,ITGAL
1089,DKC1
1090,AHSA1
1091,FLII
1092,MCM5
1093,TRMT10C
1094,TRAPPC10
1095,MTHFD1
1096,ISY1
1097,DICER1
1098,PTPRA
1099,PARL
1100,OPA1
1101,ERBIN
1102,TMEM87A
1103,CNPY3
1104,AGK
1105,CFAP97
1106,GGA2
1107,STX7
1108,ANKRD13A
1109,ZC3HAV1
1110,RAB34
1111,ITGB3BP
1112,NUFIP2
1113,SIT1
1114,CCNT2
1115,SETBP1
1116,HECTD1
1117,KNOP1
1118,QARS
1119,ARF5
1120,BAZ1A
1121,EXOSC9
1122,MFSD10
1123,TCHP
1124,IKZF1
1125,TMC8
1126,PDCD11
1127,RNF168
1128,GCA
1129,XPO6
1130,AL513365.1
1131,MED13
1132,S100A12
1133,PUM1
1134,HNRNPUL2
1135,ING3
1136,CBX6
1137,TMEM156
1138,PPID
1139,NUP88
1140,CAB39
1141,TARDBP
1142,SRRT
1143,CTNNBL1
1144,GTF2I
1145,APBB1IP
1146,BICD2
1147,NCF2
1148,ZFR
1149,ISG15
1150,PRPF31
1151,TNIP2
1152,ZNF101
1153,TRIB2
1154,PIK3R5
1155,BRMS1
1156,ELMO1
1157,SDHA
1158,MSH6
1159,SAMHD1
1160,UTP18
1161,FAM32A
1162,MRPL13
1163,ATAD2
1164,AC104109.4
1165,ERC1
1166,USP9X
1167,GLRX3
1168,NRDE2
1169,GFM1
1170,SHLD2
1171,TRADD
1172,CTPS1
1173,URM1
1174,WDR76
1175,STMP1
1176,PFDN4
1177,CISD1
1178,PAG1
1179,ATF7IP2
1180,GRPEL1
1181,LRRC75A
1182,SENP6
1183,RBM4
1184,CWF19L2
1185,COX19
1186,CCDC25
1187,PANK2
1188,RRP15
1189,THUMPD1
1190,VPS33A
1191,IDH3B
1192,MAP3K1
1193,HDAC2
1194,SPI1
1195,HRAS
1196,TAF15
1197,THAP12
1198,SART3
1199,XPA
1200,TMEM126B
1201,RNF20
1202,UBAP2L
1203,MFNG
1204,DPYSL2
1205,ZYX
1206,UGP2
1207,GTPBP4
1208,C1GALT1
1209,PRR14L
1210,ERICH1
1211,NLRC5
1212,CHORDC1
1213,KMT2A
1214,CENPF
1215,OGFR
1216,CBX1
1217,RUFY3
1218,HADHB
1219,PHF14
1220,DIDO1
1221,FAM76B
1222,BMP8B
1223,MT-TP
1224,TDP2
1225,USP33
1226,PPT1
1227,ESYT1
1228,DFFA
1229,BLM
1230,THOC1
1231,CDKN2D
1232,ATXN7L3
1233,GABPB1-IT1
1234,MRPS30
1235,ARFGEF1
1236,SPTLC2
1237,C12orf10
1238,MSL1
1239,NFATC2IP
1240,SEMA4D
1241,EDEM3
1242,ITGB2
1243,HSPA14-1
1244,SIPA1L1
1245,NEMF
1246,SUN2
1247,ZNHIT3
1248,DHX15
1249,RPIA
1250,SMC6
1251,RBCK1
1252,DDX42
1253,RMDN1
1254,VIRMA
1255,GTF2H5
1256,DDX49
1257,CPPED1
1258,NUP153
1259,UHRF2
1260,RAP2B
1261,VCL
1262,ARHGEF6
1263,CASP4
1264,ATXN2L
1265,RASGRP1
1266,MARK2
1267,OTULIN
1268,UBAC1
1269,ATP13A3
1270,WEE1
1271,COG2
1272,KIF1B
1273,CSNK1G2
1274,YEATS4
1275,HDAC7
1276,POLR3K
1277,AGPS
1278,PSPC1
1279,CBL
1280,SMG6
1281,TOX2
1282,PLEC
1283,FAM98B
1284,PMPCB
1285,AC116533.1
1286,LRBA
1287,DLG1
1288,TLK2
1289,ATP6V1E1
1290,TAF11
1291,GINM1
1292,TRAPPC4
1293,SMARCA2
1294,GGCT
1295,NPTN
1296,CTDSPL2
1297,GCSH
1298,TTF1
1299,CRNKL1
1300,DDHD1
1301,CHEK1
1302,MEX3C
1303,VPS4A
1304,TFDP1
1305,HACD4
1306,RREB1
1307,ABCF2-1
1308,CDC40
1309,DCAF13
1310,ACSL4
1311,AGFG1
1312,MKI67
1313,RASSF2
1314,PRR5
1315,BECN1
1316,AFG3L2
1317,POLR2B
1318,TRIM8
1319,CCNK
1320,COL4A3BP
1321,PDP1
1322,EFTUD2
1323,UBE2Q1
1324,UVRAG
1325,KNL1
1326,TBK1
1327,AAK1
1328,UTP14A
1329,KIAA1143
1330,CDC25B
1331,ZFP91
1332,PTCD3
1333,MPRIP
1334,MCMBP
1335,BAG5
1336,PINX1-1
1337,MRPS9
1338,SNHG19
1339,NOL8
1340,TFAM
1341,CHD7
1342,PCNX1
1343,RTCB
1344,UBE2V1
1345,KPNA6
1346,SLMAP
1347,DTNBP1
1348,SH2B2
1349,HCFC1
1350,ICE1
1351,OXCT1
1352,AIFM1
1353,CDC16
1354,TNPO1
1355,MICU2
1356,KIAA0100
1357,RSBN1
1358,ATG12
1359,SEPHS2
1360,NSRP1
1361,CCDC88B
1362,IST1
1363,MAPK6
1364,ZNF33A
1365,XIST
1366,NAE1
1367,MTIF2
1368,KIAA1109
1369,SIN3A
1370,MTCH1
1371,VHL
1372,C3orf38
1373,GTF2F2
1374,ESCO1
1375,TCOF1
1376,ESF1
1377,STK24
1378,KLF10
1379,LGALS3
1380,ZFC3H1
1381,ILKAP
1382,TTC14
1383,SPTAN1
1384,MYLIP
1385,CFAP298
1386,GCLM
1387,PCYT1A
1388,SRPK2
1389,ZNF148
1390,RRP1
1391,SMNDC1
1392,WDR70
1393,SLBP
1394,SLC7A6OS
1395,TMX3
1396,MAPKAP1
1397,PLEKHO1
1398,DR1
1399,GALNT10
1400,NUP214
1401,NOL11
1402,HAUS1
1403,TRAF3
1404,HLA-F
1405,ACP5
