,0
1363,NBEAL2
1364,DTNBP1
1365,APH1B
1366,ARHGAP25
1367,ZCCHC2
1368,TTL
1369,CEBPA
1370,DUSP10
1371,NOTCH2NLA
1372,TMEM268
1373,RAB12
1374,PXN
1375,DEF8
1376,SESN1
1377,SERPINF1
1378,GRK6
1379,ARHGEF11
1380,CCDC93
1381,BAZ1B
1382,DDI2
1383,SERPINE1
1384,TXNDC12
1385,CYB5A
1386,MRPS5
1387,SNX8
1388,TOLLIP
1389,RTL8C
1390,NAAA
1391,SMG5
1392,GGA1
1393,FNBP4
1394,ITPR1
1395,EPS15L1
1396,SIRT7
1397,SLC48A1
1398,CDC34
1399,AKNA
1400,IMPA2
1401,KLHL24
1402,RIMKLB
1403,CDKN2AIP
1404,LILRB4
1405,PQLC2
1406,ANAPC13
1407,SLC17A5
1408,STX2
1409,CLIP4
1410,CD180
1411,XPR1
1412,APOBR
1413,ABCA1
1414,RYK
1415,ARHGAP31
1416,PSMD9
1417,C9orf78
1418,TRMT10C
1419,RAP1GDS1
1420,UBTD1
1421,NSMAF
1422,GNL3
1423,ARHGAP45
1424,CEBPG
1425,TMEM176A
1426,HPGD
1427,TBC1D2B
1428,PMS1
1429,PDE7A
1430,RBM33
1431,C19orf24
1432,CTBP1
1433,DNPH1
1434,GPATCH2L
1435,EP400
1436,TNFRSF12A
1437,C5orf51
1438,CPPED1
1439,RUFY3
1440,NUTM2A-AS1
1441,NCOA3
1442,HEIH
1443,PAQR5
1444,MCPH1
1445,KIAA0232
1446,STARD7
1447,PTOV1
1448,CARD6
1449,TSPAN4
1450,CALCOCO1
1451,UVRAG
1452,ZSCAN16-AS1
1453,DCTN4
1454,CBWD2
1455,CHPF2
1456,UBR3
1457,PPP2R2D
1458,NPEPPS
1459,KMT2A
1460,CDK2AP1
1461,HPS1
1462,SSNA1
1463,JADE2
1464,CMKLR1
1465,CRYBG1
1466,NAB2
1467,AFG3L2
1468,VPS4B
1469,CDK4
1470,HPS4
1471,MTHFS
1472,UBE2G1
1473,ACBD3
1474,PSMD3
1475,NDRG1
1476,MYOF
1477,SETDB2
1478,ARHGAP21
1479,TMEM208
1480,TMEM181
1481,RPL23AP82
1482,PIM1
1483,SYVN1
1484,MEA1
1485,RABIF
1486,CERS2
1487,SNAPC3
1488,ARPC5L
1489,SPHK1
1490,UBE2V1
1491,PSMD1
1492,SGTB
1493,ZC3H12C
1494,NRBF2
1495,TBC1D20
1496,FBRSL1
1497,PIKFYVE
1498,ZNF219
1499,SRRT
1500,TMEM70
1501,OAT
1502,CCNL2
1503,STX18
1504,STARD10
1505,TBRG1
1506,TESK1
1507,KLHL21
1508,TRIM33
1509,TARSL2
